,Away_Behinds,Away_Goals,Away_Team,Away_Total,Crowd,Date,Day,Home_Behinds,Home_Goals,Home_Team,Home_Total,Match_Link,Month,Round,Structured_Data,Time,Venue,Year,City,station_ID,URL,Rain
2914,11 ,16,Geelong,107,44937,23,Saturday,11 ,8,Port Adelaide,59,http://www.afl.com.au/match-centre/2016/5/port-v-geel,April,Round 5 (Anzac Round),2016-04-23 19:15:00,7:15 pm,Adelaide Oval,2016,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-106666407&p_stn_num=023090,0
2915,12 ,19,Greater Western Sydney,126,21052,24,Sunday,7 ,12,St Kilda,79,http://www.afl.com.au/match-centre/2016/5/stk-v-gws,April,Round 5 (Anzac Round),2016-04-24 13:10:00,1:10 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2916,12 ,10,Carlton,72,34796,24,Sunday,14 ,9,Fremantle,68,http://www.afl.com.au/match-centre/2016/5/fre-v-carl,April,Round 5 (Anzac Round),2016-04-24 14:15:00,2:15 pm,Domain Stadium,2016,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-17056912&p_stn_num=009225,0
2917,12 ,14,Richmond,96,59968,24,Sunday,9 ,20,Melbourne,129,http://www.afl.com.au/match-centre/2016/5/melb-v-rich,April,Round 5 (Anzac Round),2016-04-24 19:10:00,7:10 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2918,7 ,11,Essendon,73,85082,25,Monday,10 ,22,Collingwood,142,http://www.afl.com.au/match-centre/2016/5/coll-v-ess,April,Round 5 (Anzac Round),2016-04-25 15:20:00,3:20 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0
2919,9 ,6,Western Bulldogs,45,47622,29,Friday,7 ,9,North Melbourne,61,http://www.afl.com.au/match-centre/2016/6/nmfc-v-wb,April,Round 6,2016-04-29 19:50:00,7:50 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,0.2
2920,15 ,20,St Kilda,135,27260,30,Saturday,6 ,15,Melbourne,96,http://www.afl.com.au/match-centre/2016/6/melb-v-stk,April,Round 6,2016-04-30 13:45:00,1:45 pm,Etihad Stadium,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,8.5
2921,16 ,8,Fremantle,64,47423,30,Saturday,13 ,14,Adelaide,97,http://www.afl.com.au/match-centre/2016/6/adel-v-fre,April,Round 6,2016-04-30 13:40:00,1:40 pm,Adelaide Oval,2016,Adelaide,106666407&p_stn_num=023090,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-106666407&p_stn_num=023090,0
2922,11 ,12,Hawthorn,83,13766,30,Saturday,14 ,24,Greater Western Sydney,158,http://www.afl.com.au/match-centre/2016/6/gws-v-haw,April,Round 6,2016-04-30 16:35:00,4:35 pm,Spotless Stadium,2016,Western Sydney,872504448&p_stn_num=066048,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-872504448&p_stn_num=066048,0.4
2923,6 ,7,Gold Coast,48,23007,30,Saturday,18 ,25,Geelong,168,http://www.afl.com.au/match-centre/2016/6/geel-v-gcfc,April,Round 6,2016-04-30 19:25:00,7:25 pm,Simonds Stadium,2016,Geelong,1519479636&p_stn_num=087162,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1519479636&p_stn_num=087162,3.8
2924,16 ,13,Port Adelaide,94,27077,30,Saturday,11 ,8,Richmond,59,http://www.afl.com.au/match-centre/2016/6/rich-v-port,April,Round 6,2016-04-30 19:25:00,7:25 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,8.5
2925,7 ,15,Sydney,97,14646,1,Sunday,10 ,14,Brisbane Lions,94,http://www.afl.com.au/match-centre/2016/6/bl-v-syd,May,Round 6,2016-05-01 13:10:00,1:10 pm,Gabba,2016,Brisbane,334811501&p_stn_num=040913,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-334811501&p_stn_num=040913,1.4
2926,9 ,8,Essendon,57,43827,1,Sunday,12 ,10,Carlton,72,http://www.afl.com.au/match-centre/2016/6/carl-v-ess,May,Round 6,2016-05-01 15:20:00,3:20 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,9.8
2927,8 ,9,Collingwood,62,37931,1,Sunday,16 ,18,West Coast,124,http://www.afl.com.au/match-centre/2016/6/wce-v-coll,May,Round 6,2016-05-01 14:40:00,2:40 pm,Domain Stadium,2016,Perth,17056912&p_stn_num=009225,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-17056912&p_stn_num=009225,0
2928,10 ,21,Hawthorn,136,49678,6,Friday,12 ,13,Richmond,90,http://www.afl.com.au/match-centre/2016/7/rich-v-haw,May,Round 7,2016-05-06 19:50:00,7:50 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,↓
2929,9 ,15,Carlton,99,60222,7,Saturday,12 ,12,Collingwood,84,http://www.afl.com.au/match-centre/2016/7/coll-v-carl,May,Round 7,2016-05-07 13:45:00,1:45 pm,MCG,2016,Melbourne,1487228352&p_stn_num=086232,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1487228352&p_stn_num=086232,
2930,7 ,12,West Coast,79,25429,7,Saturday,15 ,18,Geelong,123,http://www.afl.com.au/match-centre/2016/7/geel-v-wce,May,Round 7,2016-05-07 14:10:00,2:10 pm,Simonds Stadium,2016,Geelong,1519479636&p_stn_num=087162,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2016&p_c=-1519479636&p_stn_num=087162,0
