City,Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Rain,URL
Sydney,22/05/2011,14:10,Sydney,Hawthorn,SCG,60,106,8,12,15,16,1.74,2.05,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-873151344&p_stn_num=066073
Melbourne,22/05/2011,13:10,Collingwood,Adelaide,Etihad Stadium,135,92,20,15,14,8,1.05,9.88,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Brisbane,21/05/2011,19:40,Brisbane,North Melbourne,Gabba,73,59,10,13,8,11,1.88,1.87,0.4,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-334797792&p_stn_num=040913
Melbourne,21/05/2011,19:40,Richmond,Essendon,MCG,105,89,16,9,13,11,2.73,1.44,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Adelaide,21/05/2011,14:10,Port Adelaide,Fremantle,AAMI Stadium,90,142,14,6,21,16,2.39,1.56,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-105924303&p_stn_num=023011
Melbourne,21/05/2011,14:10,St Kilda,Melbourne,Etihad Stadium,106,86,16,10,13,8,1.4,2.9,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Melbourne,20/05/2011,19:40,Carlton,Geelong,Etihad Stadium,100,102,14,16,15,12,2.74,1.44,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Perth,15/05/2011,14:40,West Coast,Fremantle,Domain Stadium,96,63,14,12,9,9,1.96,1.8,0,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-16771239&p_stn_num=009151
Melbourne,15/05/2011,14:10,Western Bulldogs,Richmond,Etihad Stadium,153,118,23,15,18,10,1.66,2.18,1.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
Melbourne,15/05/2011,13:10,Hawthorn,St Kilda,MCG,99,69,14,15,10,9,1.42,2.82,1.6,http://www.bom.gov.au/jsp/ncc/cdio/weatherData/av?p_nccObsCode=136&p_display_type=dailyDataFile&p_startYear=2011&p_c=-1487214643&p_stn_num=086232
